Mesto,Razdalja,Veter,Ime,Rojstvo,Drzava,Prizorisce,Datum,Rezultat,Starost
164,6.41,+0.9,Yelizaveta DYOMINA,01 JUL 2002,RUS,"Olympic Stadium, Cheboksary (RUS)",07 JUL 2024,1088,22
164,6.41,+0.1,Ysee LE PHILIPPE,15 JAN 2002,FRA,"Stadium Municipal, Albi (FRA)",19 JUL 2024,1088,22
164,6.41,+0.6,Shuiqing CHEN,12 APR 2000,CHN,"Sports Center, Quzhou (CHN)",14 SEP 2024,1088,24
172,6.40,0.0,Ayla HALLBERG HOSSAIN,23 DEC 2006,SWE,"Eva Lisa Holtz Arena, Karlstad (SWE) (i)",18 FEB 2024,1086,17
172,6.40,+0.7,Timeke-Jade COETZEE,26 MAY 2006,RSA,"Pilditch Stadium, Pretoria (RSA)",08 MAR 2024,1086,17
172,6.40,0.0,Lishanna ILVES,29 MAY 2000,EST,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",06 APR 2024,1086,23
172,6.40,-1.0,Alliyah MCNEIL,25 SEP 2001,JAM,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",27 APR 2024,1092,22
172,6.40,+1.9,Sijia GUO,14 FEB 1999,CHN,"Hebei Olympic Sports Center, Qinhuangdao (CHN)",28 APR 2024,1086,25
177,6.39,0.0,Sharlota PAEHLITSE,20 NOV 1998,BLR,"Olimpiyets, Mogilyov (BLR) (i)",17 FEB 2024,1084,25
177,6.39,+2.0,Shaniya BENJAMIN,2002,USA,"University of South Florida Track &amp; Field Stadium, Tampa, FL (USA)",06 APR 2024,1084,
177,6.39,+1.2,Alice CHIVET,08 AUG 2001,FRA,"Stade communautaire d&#39;athl&#233;tisme, Bruay-la-Buissiere (FRA)",12 MAY 2024,1084,22
177,6.39,-0.4,Marija BUKVIĆ,31 MAY 2001,SRB,"Atletski Stadion, Kraljevo (SRB)",07 JUL 2024,1086,23
177,6.39,+0.2,Tuğba DANIŞMAZ,01 SEP 1999,TUR,"Atat&#252;rk Stadyumu, Izmir (TUR)",18 AUG 2024,1084,24
182,6.38,0.0,Lea-Jasmin RIECKE,25 APR 2000,GER,"LA-Halle Brandberge, Halle (GER) (i)",13 JAN 2024,1081,23
182,6.38,0.0,Maryna BEKH-ROMANCHUK,18 JUL 1995,UKR,"Helmut-K&#246;rnig-Halle, Dortmund (GER) (i)",20 JAN 2024,1081,28
