Mesto,Ime,Single,SingleRekord,Average,AverageRekord,Drzava,Poskusi,ImeRunde,IndeksRunde,Leto
84,Gal Kardoš,21.03,,26.59,,si,27.55 25.80 (21.03) (27.77) 26.42,3x3x3 Cube First round,3,2024
85,Bor Cvetković Šarkanović,22.66,,27.03,,si,28.76 (31.52) 27.78 (22.66) 24.55,3x3x3 Cube First round,3,2024
86,Filip Ugovšek,23.58,,27.87,,si,(23.58) (DNF) 27.04 24.93 31.64,3x3x3 Cube First round,3,2024
87,Jernej Kobal,19.63,,29.37,,si,27.52 31.26 (49.31) 29.33 (19.63),3x3x3 Cube First round,3,2024
88,Jonas Pizorn,24.61,,29.72,,gb,27.23 28.62 (24.61) (34.97) 33.32,3x3x3 Cube First round,3,2024
89,Luka Milotić,22.70,,30.21,,hr,(33.30) 31.49 31.02 (22.70) 28.11,3x3x3 Cube First round,3,2024
90,Patrik Hostić,25.10,,30.38,,hr,26.83 32.63 (25.10) 31.67 (38.86),3x3x3 Cube First round,3,2024
91,Anže Marinko,19.98,,31.01,,si,32.82 (19.98) 32.55 (36.62) 27.65,3x3x3 Cube First round,3,2024
92,Jakob Lavrenčič,26.82,,31.08,,si,(40.97) 29.99 32.36 30.88 (26.82),3x3x3 Cube First round,3,2024
93,Nik Sušnik,23.59,,32.76,,si,35.38 (42.80) 37.31 (23.59) 25.58,3x3x3 Cube First round,3,2024
94,Miha Završnik,30.54,,34.28,,si,34.38 33.25 (38.32) (30.54) 35.21,3x3x3 Cube First round,3,2024
95,Niko Kordić,27.87,,34.59,,hr,38.06 28.93 (27.87) (41.14) 36.79,3x3x3 Cube First round,3,2024
96,Petra Kobal Vogrinec,28.21,,35.77,,si,(28.21) 32.59 (41.41) 39.67 35.05,3x3x3 Cube First round,3,2024
97,Lenart Dolenec,33.23,,36.42,,si,37.21 36.40 (53.94) 35.64 (33.23),3x3x3 Cube First round,3,2024
98,Julian Waltl,29.55,,38.28,,at,39.70 36.65 (41.88) (29.55) 38.49,3x3x3 Cube First round,3,2024
99,Ilona Jegrišnik,40.24,,42.03,,si,41.52 44.08 (40.24) 40.48 (DNF),3x3x3 Cube First round,3,2024
100,Jan Kardoš,36.56,,43.07,,si,36.95 (49.82) 49.60 (36.56) 42.65,3x3x3 Cube First round,3,2024
101,Lara Pernar,40.76,,44.83,,hr,42.15 (40.76) (58.34) 48.97 43.36,3x3x3 Cube First round,3,2024
102,Maks Kokalj Pezzano,38.52,,46.16,,si,45.50 (38.52) (54.06) 41.07 51.92,3x3x3 Cube First round,3,2024
103,Karlo Tretinjak,44.35,,47.64,,hr,(51.83) 46.96 48.36 47.61 (44.35),3x3x3 Cube First round,3,2024
104,Ambrož Balantič,34.40,,48.81,,si,52.00 (53.67) (34.40) 46.66 47.76,3x3x3 Cube First round,3,2024
105,Miha Kobal,45.51,,50.82,,si,46.89 54.18 51.38 (1:01.92) (45.51),3x3x3 Cube First round,3,2024
106,Gal Zalokar,47.92,,57.55,,si,(47.92) 57.99 (1:01.82) 57.50 57.15,3x3x3 Cube First round,3,2024
107,Matija Vidiček,46.46,,1:06.63,,si,1:33.13 55.92 (1:49.04) 50.84 (46.46),3x3x3 Cube First round,3,2024
108,Jonatan Hladnik,1:02.41,,1:11.81,,si,(1:02.41) 1:05.96 1:11.64 1:17.82 (1:51.78),3x3x3 Cube First round,3,2024
109,Jakov Grgić,1:04.73,,1:20.56,,hr,(1:34.41) 1:22.39 1:09.45 1:29.83 (1:04.73),3x3x3 Cube First round,3,2024
110,Jakob Sojar Voglar,1:23.97,,1:27.79,,si,(2:07.15) 1:24.15 1:24.60 1:34.61 (1:23.97),3x3x3 Cube First round,3,2024
